Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude,Agency Description,Color Description,Body Style Description
4560747413,01/10/2023,940,,0000,CA,202307,,HOND,PA,BK,518 WILMINGTON BLVD,,55,80.56E4+,RED ZONE,93,,,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560928304,01/10/2023,948,,0000,CA,12,,GRUM,TK,BN,1119 CROCKER ST S,,56,80.56E4+,RED ZONE,93,6485464.611196,1834576.358757,56 - DOT - CENTRAL,BROWN,TRUCK
4561111085,01/10/2023,926,,0000,CA,202307,,NISS,PA,WT,1403 HOBART BLVD S,,55,80.56E4+,RED ZONE,93,6469183.315741,1839378.078247,55 - DOT - SOUTHERN,WHITE,PASSENGER CAR
4560646171,01/10/2023,939,,0000,CA,0,,ACUR,PA,BK,6819 BROADWAY  S,,55,80.56E4+,RED ZONE,93,6477292.090994,1814504.501051,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560570280,01/10/2023,1003,,0000,CA,202106,,MNNI,PA,BK,207 ORD ST,,56,80.56E4+,RED ZONE,93,6489603.818467,1844249.393611,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4560770675,01/10/2023,929,,0000,CA,202302,,KIA,PA,BK,3199 GLENDALE BL,,56,80.56E4+,RED ZONE,93,6482644.57189,1865416.705344,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4560567255,01/10/2023,1005,,0000,CA,202309,,FORD,PU,BK,25445 FRAMPTON AVE,,55,80.56E4+,RED ZONE,93,6470539.095864,1747254.571706,55 - DOT - SOUTHERN,BLACK,PICK-UP TRUCK
4561095582,01/10/2023,946,,0000,CA,202211,,FORD,PA,WT,940 MARIPOSA AV S,489R2,54,80.56E4+,RED ZONE,93,,,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4561156622,01/10/2023,1006,,0000,TX,202305,,TOYT,PA,BK,900 CITRUS AV N,,54,80.56E4+,RED ZONE,93,6458491.225085,1843948.542949,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4560679480,01/10/2023,953,,0000,IL,0,,MERZ,PA,BK,14300 DELANO ST,,53,80.56E4+,RED ZONE,93,6427279.078989,1889148.992324,53 - DOT - VALLEY,BLACK,PASSENGER CAR
4560828790,01/10/2023,954,,0000,CA,202311,,NISS,PA,GY,5500 DENNY AVE,,53,80.56E4+,RED ZONE,93,6451385.094332,1884445.116278,53 - DOT - VALLEY,GREY,PASSENGER CAR
4561095604,01/10/2023,952,,0000,CA,202304,,HOND,PA,WT,947 NORMANDIE AV S,489R2,54,80.56E4+,RED ZONE,93,6470690.418091,1854300.950108,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4561111074,01/10/2023,924,,0000,CA,0,,KIA,PA,SL,1403 HOBART BLVD S,,55,80.56E4+,RED ZONE,93,6469183.315741,1839378.078247,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4561087635,01/10/2023,920,,0000,CA,202310,,DODG,PA,GY,990 MAGNOLIA AVE,,54,80.56E4+,RED ZONE,93,6474865.841161,1841657.46212,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4559174196,01/10/2023,943,,0000,CA,202307,,HOND,PA,BL,15301 TUPPER ST,,53,80.56E4+,RED ZONE,93,6420816.358914,1909738.021733,53 - DOT - VALLEY,BLUE,PASSENGER CAR
4561095615,01/10/2023,1003,,0000,CA,202212,,LEXS,PA,RD,4100 1ST ST W,489R2,54,80.56E4+,RED ZONE,93,6470698.092607,1849354.970532,54 - DOT - HOLLYWOOD,RED,PASSENGER CAR
4560405975,01/10/2023,910,,0000,CA,202206,,FORD,PA,BL,2108 37TH PL W,,55,80.56E4+,RED ZONE,93,6465377.832197,1829918.635971,55 - DOT - SOUTHERN,BLUE,PASSENGER CAR
4561147603,01/10/2023,1016,,0000,CA,202304,,TOYT,PA,BK,724 57TH ST W,,55,80.56E4+,RED ZONE,93,6474970.786342,1819062.954501,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560159413,01/10/2023,917,,0000,CA,202203,,NISS,PA,WT,1500 4TH ST W,,56,80.56E4+,RED ZONE,93,6481151.033153,1843274.620409,56 - DOT - CENTRAL,WHITE,PASSENGER CAR
